1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
428	-1.225851	123.185254	23.578040	0.002348	11
429	-1.193660	123.738219	23.487962	0.002852	11
430	-1.197674	124.437425	23.375041	0.002753	11
431	-1.218096	124.330232	23.392282	0.003341	11
432	-1.221687	124.223249	23.409514	0.003075	11
433	-1.227711	124.116207	23.426782	0.002281	11
434	-1.204064	124.010221	23.443904	0.002698	11
435	-1.220556	123.903028	23.461247	0.001536	11
436	-1.229833	124.834088	23.311461	0.002013	11
437	-1.206406	124.727697	23.328480	0.002277	11
438	-1.222145	124.625718	23.344817	0.002970	11
439	-1.221496	124.529997	23.360172	0.004692	11
440	-1.221142	125.467126	23.210708	0.004750	11
441	-1.238473	126.467126	23.053312	0.002151	11
442	-1.202194	126.359932	23.070082	0.001451	11
443	-1.201658	126.346966	23.072112	0.004030	11
444	-1.234512	127.272208	22.928138	0.002314	11
445	-1.213702	128.271378	22.774666	0.002625	11
446	-1.224791	128.166807	22.790631	0.003656	11
447	-1.233604	128.178931	22.788779	0.002002	11
448	-1.208993	128.086370	22.802928	0.001797	11
449	-1.227782	128.018030	22.813385	0.002357	11
450	-1.225748	127.911933	22.829639	0.002242	11
451	-1.204102	127.804789	22.846077	0.001643	11
452	-1.203454	127.697647	22.862539	0.003980	11
453	-1.236107	127.691601	22.863468	0.004218	11
454	-1.217012	127.620736	22.874370	0.002935	11
455	-1.239191	128.620736	22.721488	0.002114	11
456	-1.224078	129.592190	22.574914	0.002772	11
457	-1.210024	129.484996	22.590995	0.003365	11
458	-1.237231	130.484993	22.441865	0.001773	11
459	-1.204061	130.383150	22.456962	0.003577	11
460	-1.225728	130.977942	22.369073	0.001665	11
461	-1.199125	131.977924	22.222852	0.001270	11
462	-1.224472	131.879012	22.237230	0.002798	11
463	-1.232748	132.355874	22.168083	0.002863	11
464	-1.227311	132.248680	22.183589	0.002321	11
465	-1.201956	132.144468	22.198684	0.003116	11
466	-1.214105	133.138319	22.055552	0.003393	11
467	-1.206657	134.138319	21.913385	0.003238	11
468	-1.217248	134.036066	21.927838	0.001179	11
469	-1.236658	133.930148	21.942829	0.003044	11
470	-1.202460	133.924956	21.943564	0.003974	11
471	-1.207473	133.818201	21.958695	0.002676	11
472	-1.237379	133.711007	21.973910	0.003562	11
473	-1.239661	134.711007	21.832790	0.001301	11
474	-1.227170	134.608816	21.847128	0.002489	11
475	-1.217174	134.505836	21.861596	0.002154	11
476	-1.222246	134.433095	21.871827	0.001594	12
477	-1.235762	134.326054	21.886899	0.002247	12
478	-1.215743	134.481631	21.864999	0.002566	11
479	-1.226898	134.374460	21.880081	0.003581	11
480	-1.235088	135.374452	21.740161	0.002680	11
481	-1.224306	136.374451	21.602018	0.003570	11
482	-1.193666	137.374451	21.465620	0.004762	11
483	-1.222391	138.374451	21.330933	0.003314	12
484	-1.221170	139.374451	21.197926	0.005474	11
485	-1.230951	139.880532	21.131244	0.001957	11
486	-1.209812	140.873036	21.001680	0.001445	11
487	-1.240505	140.816685	21.008994	0.002632	11
488	-1.218658	141.289937	20.947730	0.004109	12
489	-1.210599	141.745535	20.889088	0.003590	11
490	-1.176123	141.638368	20.902852	0.001294	12
491	-1.210953	141.545254	20.914826	0.003693	11
492	-1.244900	141.517903	20.918346	0.003177	11
493	-1.239931	141.770558	20.885876	0.002552	11
494	-1.214900	142.770491	20.758353	0.002069	12
495	-1.218477	142.667742	20.771385	0.003725	12
496	-1.211318	142.562771	20.784716	0.003303	12
497	-1.217257	143.562769	20.658413	0.002147	11
498	-1.219900	144.435359	20.549450	0.001896	11
499	-1.232525	144.329833	20.562567	0.002395	11
